# amide: ROI Analysis File - generated on Fri Aug 20 21:23:56 2010
#
# Study:	XXXXXXXXXXXX
#
# ROI:	tumor	Type:	ellipsoid
#   Data Set:	XXXXXXXXXXXX	Scaling Factor:	1
#   Frame 0, Gate 0
#      Value	      Weight	      X (mm)	      Y (mm)	      Z (mm)
     1.71568	           1	    -118.164	     15.0391	       38.25
     1.71515	           1	    -118.164	     10.7422	       46.75
     1.71496	           1	    -118.164	     10.7422	          17
     1.71493	           1	    -135.352	     32.2266	          34
     1.71462	           1	    -131.055	     23.6328	          17
     1.71434	           1	    -143.945	     15.0391	          17
     1.71417	           1	    -118.164	     19.3359	       46.75
     1.71407	           1	    -113.867	     32.2266	       38.25
      1.7134	           1	    -118.164	     15.0391	        42.5
     1.71327	           1	    -105.273	     27.9297	       12.75
     1.71314	           1	    -118.164	     15.0391	        4.25
     1.71284	           1	    -135.352	     10.7422	       38.25
     1.71223	           1	    -113.867	     15.0391	       38.25
     1.70956	           1	    -135.352	     15.0391	          34
     1.70945	           1	    -122.461	     27.9297	        4.25
     1.70913	           1	    -135.352	     10.7422	        42.5
     1.70903	           1	    -118.164	     19.3359	        4.25
       1.708	           1	    -131.055	     6.44531	       38.25
     1.70639	           1	    -122.461	     23.6328	      -12.75
     1.70595	           1	    -126.758	     6.44531	       29.75
     1.70526	           1	    -126.758	     15.0391	         8.5
     1.70454	           1	    -122.461	     36.5234	       29.75
     1.70229	           1	    -139.648	     23.6328	       29.75
     1.70188	           1	    -113.867	     19.3359	       38.25
     1.70184	           1	    -126.758	     27.9297	      -12.75
     1.70162	           1	    -113.867	     19.3359	         8.5
     1.70138	           1	     -109.57	     32.2266	       38.25
     1.70083	           1	    -122.461	     36.5234	          17
     1.70016	           1	    -135.352	     15.0391	       38.25
     1.69916	           1	    -122.461	     15.0391	       12.75
     1.69864	           1	    -131.055	     19.3359	         8.5
     1.69863	           1	    -135.352	     23.6328	       12.75
     1.69797	           1	    -126.758	     27.9297	          17
     1.69715	           1	    -122.461	     6.44531	       38.25
       1.697	           1	     -109.57	     40.8203	       12.75
     1.69667	           1	    -122.461	     10.7422	        42.5
     1.69563	           1	    -113.867	     15.0391	        42.5
      1.6956	           1	    -113.867	     27.9297	       38.25
     1.69518	           1	    -118.164	     40.8203	          17
     1.69488	           1	     -109.57	     19.3359	        42.5
     1.69413	           1	    -135.352	     23.6328	         8.5
     1.69385	           1	    -113.867	     40.8203	       12.75
     1.69276	           1	    -113.867	     23.6328	       -4.25
     1.69148	           1	    -122.461	     32.2266	       38.25
     1.69113	           1	     -109.57	     19.3359	          51
     1.69033	           1	    -131.055	     32.2266	       21.25
     1.68997	           1	    -139.648	     19.3359	       29.75
     1.68974	           1	    -113.867	     27.9297	        4.25
     1.68892	           1	    -126.758	     27.9297	       38.25
     1.68583	           1	    -135.352	     27.9297	       21.25
     1.68549	           1	    -135.352	     23.6328	          17
     1.68512	           1	    -113.867	     15.0391	          51
     1.68505	           1	    -118.164	     15.0391	       12.75
     1.68503	           1	    -122.461	     10.7422	       46.75
     1.68275	           1	    -118.164	     10.7422	       38.25
     1.68267	           1	    -122.461	     23.6328	        4.25
     1.68262	           1	    -122.461	     15.0391	       46.75
     1.68137	           1	    -126.758	     15.0391	       46.75
     1.68054	           1	     -109.57	     15.0391	       46.75
     1.68038	           1	    -113.867	     19.3359	          51
      1.6797	           1	    -118.164	     23.6328	        4.25
     1.67923	           1	    -113.867	     32.2266	       46.75
     1.67911	           1	    -122.461	     6.44531	       29.75
     1.67895	           1	    -139.648	     6.44531	       21.25
     1.67854	           1	    -131.055	     6.44531	       29.75
     1.67837	           1	    -105.273	     36.5234	         8.5
     1.67817	           1	    -122.461	     19.3359	           0
     1.67815	           1	    -118.164	     32.2266	          51
     1.67787	           1	    -126.758	     10.7422	       46.75
     1.67726	           1	    -122.461	     23.6328	       46.75
     1.67538	           1	    -131.055	     27.9297	         8.5
     1.67506	           1	    -139.648	     23.6328	       21.25
     1.67463	           1	    -113.867	     23.6328	       38.25
     1.67463	           1	     -109.57	     15.0391	       38.25
     1.67424	           1	    -131.055	     23.6328	       38.25
     1.67374	           1	    -113.867	     23.6328	         8.5
     1.67245	           1	    -131.055	     27.9297	       12.75
     1.67214	           1	    -122.461	     23.6328	        42.5
     1.67198	           1	     -109.57	     19.3359	       12.75
     1.67142	           1	    -126.758	     19.3359	        4.25
     1.67093	           1	     -109.57	     27.9297	         8.5
     1.67091	           1	    -122.461	     27.9297	      -12.75
     1.67027	           1	    -122.461	     23.6328	           0
     1.67011	           1	    -126.758	     32.2266	         8.5
     1.66952	           1	    -143.945	     19.3359	       21.25
     1.66863	           1	    -122.461	     19.3359	       46.75
     1.66703	           1	    -113.867	     10.7422	       21.25
     1.66697	           1	    -139.648	     19.3359	       12.75
     1.66652	           1	    -113.867	     19.3359	        4.25
     1.66641	           1	    -113.867	     27.9297	       -4.25
     1.66505	           1	    -113.867	     36.5234	       29.75
     1.66501	           1	    -113.867	     19.3359	       -4.25
     1.66484	           1	    -126.758	     36.5234	       21.25
     1.66431	           1	    -135.352	     19.3359	           0
     1.66353	           1	    -105.273	     36.5234	       12.75
     1.66349	           1	    -122.461	     27.9297	       46.75
     1.66132	           1	    -126.758	     15.0391	        4.25
     1.65754	           1	    -131.055	     6.44531	        42.5
     1.65735	           1	    -126.758	     32.2266	       12.75
     1.65731	           1	     -109.57	     32.2266	       46.75
     1.65675	           1	    -135.352	     19.3359	         8.5
     1.65611	           1	    -131.055	     23.6328	      -12.75
     1.65593	           1	    -139.648	     15.0391	       29.75
     1.65556	           1	    -131.055	     15.0391	       46.75
     1.65485	           1	    -113.867	     15.0391	        4.25
      1.6547	           1	    -113.867	     15.0391	         8.5
     1.65463	           1	     -109.57	     23.6328	       -4.25
     1.65414	           1	    -126.758	     15.0391	       12.75
     1.65315	           1	    -135.352	     15.0391	       12.75
     1.65307	           1	    -139.648	     23.6328	          34
     1.65273	           1	     -109.57	     23.6328	           0
     1.65247	           1	     -109.57	     19.3359	         8.5
     1.65169	           1	     -109.57	     15.0391	       21.25
     1.65168	      0.9375	    -143.945	     6.44531	        25.5
     1.65128	           1	    -131.055	     27.9297	          17
     1.65128	           1	    -126.758	     6.44531	          17
     1.65044	           1	    -118.164	     19.3359	       -4.25
     1.64849	           1	    -143.945	     10.7422	          17
     1.64633	           1	    -113.867	     23.6328	        4.25
     1.64628	           1	    -126.758	     6.44531	        42.5
     1.64603	           1	    -135.352	     19.3359	       38.25
     1.64548	           1	    -105.273	     27.9297	        42.5
     1.64443	           1	    -113.867	     27.9297	       55.25
     1.64376	           1	    -122.461	     36.5234	       12.75
     1.64285	           1	    -113.867	     32.2266	       -4.25
      1.6425	           1	    -113.867	     23.6328	           0
     1.64248	           1	     -109.57	     15.0391	          51
     1.64222	           1	    -126.758	     19.3359	       46.75
     1.64149	           1	    -118.164	     6.44531	          34
     1.64051	           1	    -118.164	     10.7422	        42.5
     1.63936	           1	    -135.352	     23.6328	           0
     1.63871	           1	     -109.57	     27.9297	        4.25
     1.63863	           1	     -109.57	     19.3359	       38.25
     1.63829	           1	    -118.164	     32.2266	       46.75
     1.63757	           1	    -126.758	     23.6328	        42.5
     1.63753	           1	    -131.055	     15.0391	         8.5
     1.63741	           1	    -113.867	     10.7422	       38.25
     1.63732	           1	     -109.57	     19.3359	        4.25
     1.63618	           1	    -118.164	     27.9297	        42.5
     1.63497	           1	    -126.758	     32.2266	          17
     1.63378	           1	    -118.164	     19.3359	           0
     1.63279	           1	     -109.57	     27.9297	       38.25
     1.63279	           1	    -131.055	     27.9297	      -12.75
     1.63277	           1	    -131.055	     10.7422	       46.75
